site_id,site_name,commissioned_date,province,district,latitude,longitude,array_size_kwp,panel_type,notes,created_at,updated_at
KD103,KD0103R8,19.07.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 5.7 kW,31.10.25 03:26,31.10.25 03:26
KD257,KD0257RD,22.05.22,Kandal,,,,3.9,650W MH-650W,PO: PON2022300392 | Project: Solar 2022-150 Sites | Grid: Grid | Power: Grid+Solar | Avg Load: 5.9 kW,31.10.25 03:26,31.10.25 03:26
KD150,KD0150P,26.06.20,Kandal,,,,4.35,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 4.0 kW,31.10.25 03:26,31.10.25 03:26
KD116,KD0116R6,18.01.20,Kandal,,,,3.48,435W JKM-435M,Project: Solar 2020-Phase 0 | Grid: Grid | Power: Grid+Solar | Avg Load: 3.4 kW,31.10.25 03:26,31.10.25 03:26
KD002,KD0002P,02.06.20,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 5.5 kW,31.10.25 03:26,31.10.25 03:26
KD142,KD0142P,21.01.20,Kandal,,,,3.48,435W JKM-435M,Project: Solar 2020-Phase 0 | Grid: Grid | Power: Grid+Solar | Avg Load: 6.8 kW,31.10.25 03:26,31.10.25 03:26
KD028,KD0028RD,22.05.20,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 4.4 kW,31.10.25 03:26,31.10.25 03:26
KD027,KD0027P,31.05.20,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 5.1 kW,31.10.25 03:26,31.10.25 03:26
PP350,PP0350,,Phnom Penh,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 4.4 kW,31.10.25 03:26,31.10.25 03:26
PP111,PP0111,14.05.22,Phnom Penh,,,,3.9,650W MH-650W,PO: PON2022300392 | Project: Solar 2022-150 Sites | Grid: Grid | Power: Grid+Solar | Avg Load: 6.5 kW,31.10.25 03:26,31.10.25 03:26
KD181,KD0181RD,,Kandal,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 7.1 kW,31.10.25 03:26,31.10.25 03:26
KD233,KD0233P,01.07.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 7.4 kW,31.10.25 03:26,31.10.25 03:26
KD172,KD0172P,,Kandal,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 5.0 kW,31.10.25 03:26,31.10.25 03:26
KD184,KD0184P,23.01.20,Kandal,,,,2.61,435W JKM-435M,Project: Solar 2020-Phase 0 | Grid: Grid | Power: Grid+Solar | Avg Load: 5.3 kW,31.10.25 03:26,31.10.25 03:26
PP364,PP0364,,Phnom Penh,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 6.0 kW,31.10.25 03:26,31.10.25 03:26
KD213,KD0213P,02.06.20,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 5.2 kW,31.10.25 03:26,31.10.25 03:26
KD138,KD0138R4,09.01.21,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 8.7 kW,31.10.25 03:26,31.10.25 03:26
KD236,KD0236R8,18.07.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 5.0 kW,31.10.25 03:26,31.10.25 03:26
KD193,KD0193P,,Kandal,,,,1.5,250W REC250PE,Project: Pilot site | Grid: Grid | Power: Grid+Solar | Avg Load: 6.7 kW,31.10.25 03:26,31.10.25 03:26
KD034,KD0034RD,10.06.20,Kandal,,,,4.35,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 9.9 kW,31.10.25 03:26,31.10.25 03:26
